question,db,lbl,sql,diff,related_tab_cnts,answer,related_tabs
How many 'classic' cards are eligible for loan?,financial,11,SELECT COUNT(T1.card_id) FROM card AS T1 INNER JOIN disp AS T2 ON T1.disp_id = T2.disp_id WHERE T1.type = 'classic' AND T2.type = 'OWNER',simple,2,659.0,financial#sep#card [TAB] financial#sep#disp#sep#disp0 [TAB] financial#sep#disp#sep#disp1
How many male clients in 'Hl.m. Praha' district?,financial,11,SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'M' AND T2.A2 = 'Hl.m. Praha',simple,2,339.0,financial#sep#district#sep#district_municipalities4 [TAB] financial#sep#district#sep#district_municipalities6 [TAB] financial#sep#district#sep#district_basic_info3 [TAB] financial#sep#district#sep#district_basic_info5 [TAB] financial#sep#district#sep#district_basic_info4 [TAB] financial#sep#district#sep#district_statistics0 [TAB] financial#sep#district#sep#district_statistics4 [TAB] financial#sep#district#sep#district_basic_info7 [TAB] financial#sep#district#sep#district_statistics2 [TAB] financial#sep#district#sep#district_basic_info0 [TAB] financial#sep#district#sep#district_municipalities0 [TAB] financial#sep#district#sep#district_statistics3 [TAB] financial#sep#district#sep#district_municipalities2 [TAB] financial#sep#district#sep#district_basic_info1 [TAB] financial#sep#district#sep#district_basic_info6 [TAB] financial#sep#district#sep#district_municipalities5 [TAB] financial#sep#district#sep#district_basic_info2 [TAB] financial#sep#district#sep#district_municipalities3 [TAB] financial#sep#district#sep#district_municipalities7 [TAB] financial#sep#district#sep#district_municipalities1 [TAB] financial#sep#district#sep#district_statistics5 [TAB] financial#sep#district#sep#district_statistics6 [TAB] financial#sep#district#sep#district_statistics1 [TAB] financial#sep#client#sep#client0 [TAB] financial#sep#client#sep#client1
How many accounts in Beroun were opened after 1996?,financial,11,"SELECT COUNT(account_id) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T1.date) > '1996' AND T2.A2 = 'Beroun'",simple,2,8.0,financial#sep#district#sep#district_municipalities4 [TAB] financial#sep#district#sep#district_municipalities6 [TAB] financial#sep#district#sep#district_basic_info3 [TAB] financial#sep#district#sep#district_basic_info5 [TAB] financial#sep#district#sep#district_basic_info4 [TAB] financial#sep#district#sep#district_statistics0 [TAB] financial#sep#district#sep#district_statistics4 [TAB] financial#sep#district#sep#district_basic_info7 [TAB] financial#sep#district#sep#district_statistics2 [TAB] financial#sep#district#sep#district_basic_info0 [TAB] financial#sep#district#sep#district_municipalities0 [TAB] financial#sep#district#sep#district_statistics3 [TAB] financial#sep#district#sep#district_municipalities2 [TAB] financial#sep#district#sep#district_basic_info1 [TAB] financial#sep#district#sep#district_basic_info6 [TAB] financial#sep#district#sep#district_municipalities5 [TAB] financial#sep#district#sep#district_basic_info2 [TAB] financial#sep#district#sep#district_municipalities3 [TAB] financial#sep#district#sep#district_municipalities7 [TAB] financial#sep#district#sep#district_municipalities1 [TAB] financial#sep#district#sep#district_statistics5 [TAB] financial#sep#district#sep#district_statistics6 [TAB] financial#sep#district#sep#district_statistics1 [TAB] financial#sep#account#sep#account1 [TAB] financial#sep#account#sep#account2 [TAB] financial#sep#account#sep#account0
How many female customers have a junior credit card?,financial,101,SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN card AS T3 ON T2.disp_id = T3.disp_id WHERE T1.gender = 'F' AND T3.type = 'junior',simple,3,71.0,financial#sep#disp#sep#disp0 [TAB] financial#sep#disp#sep#disp1 [TAB] financial#sep#client#sep#client0 [TAB] financial#sep#client#sep#client1 [TAB] financial#sep#card
How many clients who choose statement of weekly issuance are Owner?,financial,11,SELECT COUNT(T2.account_id) FROM account AS T1 INNER JOIN disp AS T2 ON T2.account_id = T1.account_id WHERE T1.frequency = 'POPLATEK TYDNE' AND T2.type = 'OWNER',simple,2,240.0,financial#sep#disp#sep#disp0 [TAB] financial#sep#disp#sep#disp1 [TAB] financial#sep#account#sep#account1 [TAB] financial#sep#account#sep#account2 [TAB] financial#sep#account#sep#account0
"In the non-carcinogenic molecules, how many contain chlorine atoms?",toxicology,11,SELECT COUNT(DISTINCT T1.molecule_id) FROM molecule AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.element = 'cl' AND T1.label = '-',simple,2,71.0,toxicology#sep#atom [TAB] toxicology#sep#molecule
"In the molecule containing sodium atoms, how many are non-carcinogenic?",toxicology,11,SELECT COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element = 'na' AND T2.label = '-',simple,2,11.0,toxicology#sep#atom [TAB] toxicology#sep#molecule
How many molecules are carcinogenic and have the bromine element?,toxicology,11,SELECT COUNT(DISTINCT T2.molecule_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND T1.element = 'br',simple,2,14.0,toxicology#sep#atom [TAB] toxicology#sep#molecule
What is the percentage of element chlorine in carcinogenic molecules?,toxicology,1,SELECT CAST(COUNT( CASE WHEN T1.element = 'cl' THEN T1.element ELSE NULL END) AS REAL) * 100 / COUNT(T1.element) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+',moderate,2,3.1419284940411703,toxicology#sep#atom [TAB] toxicology#sep#molecule
How many of the single bond type molecules are non-carcinogenic?,toxicology,11,SELECT COUNT(DISTINCT T2.molecule_id) FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '-' AND T1.bond_type = '-',simple,2,189.0,toxicology#sep#bond#sep#bond [TAB] toxicology#sep#molecule
How many atoms belong to the molecule labeled with carcinogenic compounds?,toxicology,1,SELECT COUNT(T1.atom_id) FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+',simple,2,3692.0,toxicology#sep#atom#sep#atom [TAB] toxicology#sep#molecule
How many atoms belong to the molecule that element is hydrogen and labeled with carcinogenic compound?,toxicology,11,SELECT COUNT(T1.atom_id) AS atomnums_h FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.label = '+' AND T1.element = 'h',simple,2,1569.0,toxicology#sep#atom [TAB] toxicology#sep#molecule
How many bonds are created by bonding atoms with chlorine element?,toxicology,1,SELECT COUNT(T1.bond_id) FROM connected AS T1 INNER JOIN atom AS T2 ON T1.atom_id = T2.atom_id WHERE T2.element = 'cl',simple,2,424.0,toxicology#sep#atom [TAB] toxicology#sep#connected#sep#connected
How many molecules without sulphur element is not having double bond?,toxicology,11,SELECT COUNT(DISTINCT T1.molecule_id) FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.element <> 's' AND T2.bond_type <> '=',simple,2,442.0,toxicology#sep#atom [TAB] toxicology#sep#bond#sep#bond
How many elements are contained in bond_id TR001_3_4?,toxicology,1,SELECT COUNT(DISTINCT T1.element) FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR001_3_4',challenging,2,1.0,toxicology#sep#atom [TAB] toxicology#sep#connected#sep#connected
How many carcinogenic molecules that consisted of Nitrogen?,toxicology,11,SELECT COUNT(DISTINCT T1.molecule_id) FROM molecule AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.element = 'n' AND T1.label = '+',simple,2,81.0,toxicology#sep#atom [TAB] toxicology#sep#molecule
What is the total number of molecules with double bonded oxygen?,toxicology,11,SELECT COUNT(DISTINCT T1.molecule_id) FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.bond_type = '=' AND T1.element = 'o',simple,2,273.0,toxicology#sep#atom [TAB] toxicology#sep#bond#sep#bond
"in molecules with triple bonds, how many of them are not carcinogenic?",toxicology,11,SELECT COUNT(DISTINCT T1.molecule_id) FROM molecule AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.bond_type = '#' AND T1.label = '-',simple,2,1.0,toxicology#sep#molecule [TAB] toxicology#sep#bond#sep#bond
How many cards are having future frame version and what are the legality status of these cards?,card_games,10,SELECT COUNT(T1.id) FROM cards AS T1 INNER JOIN legalities AS T2 ON T1.uuid = T2.uuid WHERE T1.frameVersion = 'future',simple,2,583.0,card_games#sep#legalities#sep#legalities2 [TAB] card_games#sep#legalities#sep#legalities0 [TAB] card_games#sep#legalities#sep#legalities1 [TAB] card_games#sep#cards
"Among the sets in the block ""Ice Age"", how many of them have an Italian translation?",card_games,11,SELECT COUNT(DISTINCT T1.id) FROM sets AS T1 INNER JOIN set_translations AS T2 ON T2.setCode = T1.code WHERE T1.block = 'Ice Age' AND T2.language = 'Italian' AND T2.translation IS NOT NULL,moderate,2,1.0,card_games#sep#set_translations#sep#set_translations9 [TAB] card_games#sep#set_translations#sep#set_translations3 [TAB] card_games#sep#set_translations#sep#set_translations0 [TAB] card_games#sep#set_translations#sep#set_translations2 [TAB] card_games#sep#set_translations#sep#set_translations5 [TAB] card_games#sep#set_translations#sep#set_translations1 [TAB] card_games#sep#set_translations#sep#set_translations8 [TAB] card_games#sep#set_translations#sep#set_translations7 [TAB] card_games#sep#set_translations#sep#set_translations4 [TAB] card_games#sep#set_translations#sep#set_translations6 [TAB] card_games#sep#sets#sep#sets_basic_info6 [TAB] card_games#sep#sets#sep#sets_basic_info16 [TAB] card_games#sep#sets#sep#sets_basic_info4 [TAB] card_games#sep#sets#sep#sets_basic_info12 [TAB] card_games#sep#sets#sep#sets_basic_info15 [TAB] card_games#sep#sets#sep#sets_basic_info7 [TAB] card_games#sep#sets#sep#sets_basic_info13 [TAB] card_games#sep#sets#sep#sets_basic_info9 [TAB] card_games#sep#sets#sep#sets_basic_info1 [TAB] card_games#sep#sets#sep#sets_basic_info5 [TAB] card_games#sep#sets#sep#sets_basic_info2 [TAB] card_games#sep#sets#sep#sets_basic_info10 [TAB] card_games#sep#sets#sep#sets_basic_info18 [TAB] card_games#sep#sets#sep#sets_basic_info17 [TAB] card_games#sep#sets#sep#sets_basic_info14 [TAB] card_games#sep#sets#sep#sets_basic_info8 [TAB] card_games#sep#sets#sep#sets_basic_info19 [TAB] card_games#sep#sets#sep#sets_basic_info3 [TAB] card_games#sep#sets#sep#sets_basic_info0 [TAB] card_games#sep#sets#sep#sets_basic_info11
"How many superheroes have the super power of ""Super Strength""?",superhero,1,SELECT COUNT(T1.hero_id) FROM hero_power AS T1 INNER JOIN superpower AS T2 ON T1.power_id = T2.id WHERE T2.power_name = 'Super Strength',simple,2,358.0,superhero#sep#superpower#sep#superpower [TAB] superhero#sep#hero_power#sep#hero_power
How many superheroes are published by Marvel Comics?,superhero,1,SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T2.publisher_name = 'Marvel Comics',simple,2,387.0,superhero#sep#publisher [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical3 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical10 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical13 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical12 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical2 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical4 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical8 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical9 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical0 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical6 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical1 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical7 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical11 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical5 [TAB] superhero#sep#superhero#sep#superhero_publisher_and_physical14
How many heroes have stealth power?,superhero,1,SELECT COUNT(T1.hero_id) FROM hero_power AS T1 INNER JOIN superpower AS T2 ON T1.power_id = T2.id WHERE T2.power_name = 'Stealth',simple,2,127.0,superhero#sep#superpower#sep#superpower [TAB] superhero#sep#hero_power#sep#hero_power
How many American drivers have puncture status.,formula_1,110,SELECT COUNT(T1.driverId) FROM drivers AS T1 INNER JOIN results AS T2 on T1.driverId = T2.driverId INNER JOIN status AS T3 on T2.statusId = T3.statusId WHERE T3.status = 'Puncture' AND T1.nationality = 'American',simple,3,1.0,formula_1#sep#drivers#sep#drivers [TAB] formula_1#sep#status#sep#status [TAB] formula_1#sep#results
How many students in the Student_Club are from the College of Engineering?,student_club,1,SELECT COUNT(T1.member_id) FROM member AS T1 INNER JOIN major AS T2 ON T1.link_to_major = T2.major_id WHERE T2.college = 'College of Engineering',simple,2,6.0,student_club#sep#major [TAB] student_club#sep#member#sep#member
"Among the students from the Student_Club who attended the event ""Women's Soccer"", how many of them want a T-shirt that's in medium size?",student_club,110,SELECT COUNT(T1.event_id) FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event INNER JOIN member AS T3 ON T2.link_to_member = T3.member_id WHERE T1.event_name = 'Women''s Soccer' AND T3.t_shirt_size = 'Medium',moderate,3,7.0,student_club#sep#member#sep#member [TAB] student_club#sep#attendance#sep#attendance13 [TAB] student_club#sep#attendance#sep#attendance9 [TAB] student_club#sep#attendance#sep#attendance10 [TAB] student_club#sep#attendance#sep#attendance2 [TAB] student_club#sep#attendance#sep#attendance14 [TAB] student_club#sep#attendance#sep#attendance5 [TAB] student_club#sep#attendance#sep#attendance12 [TAB] student_club#sep#attendance#sep#attendance11 [TAB] student_club#sep#attendance#sep#attendance1 [TAB] student_club#sep#attendance#sep#attendance15 [TAB] student_club#sep#attendance#sep#attendance4 [TAB] student_club#sep#attendance#sep#attendance7 [TAB] student_club#sep#attendance#sep#attendance6 [TAB] student_club#sep#attendance#sep#attendance3 [TAB] student_club#sep#attendance#sep#attendance0 [TAB] student_club#sep#attendance#sep#attendance8 [TAB] student_club#sep#attendance#sep#attendance16 [TAB] student_club#sep#event#sep#event
"How many members of the Student_Club have majored Environmental Engineering?
",student_club,1,SELECT COUNT(T1.member_id) FROM member AS T1 INNER JOIN major AS T2 ON T1.link_to_major = T2.major_id WHERE T2.major_name = 'Environmental Engineering',simple,2,2.0,student_club#sep#major [TAB] student_club#sep#member#sep#member
Calculate the total average cost that Elijah Allen spent in the events on September and October.,student_club,11,"SELECT AVG(T2.cost) FROM member AS T1 INNER JOIN expense AS T2 ON T1.member_id = T2.link_to_member WHERE T1.last_name = 'Allen' AND T1.first_name = 'Elijah' AND (SUBSTR(T2.expense_date, 6, 2) = '09' OR SUBSTR(T2.expense_date, 6, 2) = '10')",challenging,2,74.0775,student_club#sep#member#sep#member [TAB] student_club#sep#expense#sep#expense
"For all the club members from ""Business"" major, how many of them wear medium size t-shirt?",student_club,11,SELECT COUNT(T1.member_id) FROM member AS T1 INNER JOIN major AS T2 ON T1.link_to_major = T2.major_id WHERE T2.major_name = 'Business' AND T1.t_shirt_size = 'Medium',moderate,2,1.0,student_club#sep#major [TAB] student_club#sep#member#sep#member
"How many members attended the ""Women's Soccer"" event?",student_club,1,SELECT COUNT(T2.link_to_member) FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event WHERE T1.event_name = 'Women''s Soccer',simple,2,17.0,student_club#sep#attendance#sep#attendance13 [TAB] student_club#sep#attendance#sep#attendance9 [TAB] student_club#sep#attendance#sep#attendance10 [TAB] student_club#sep#attendance#sep#attendance2 [TAB] student_club#sep#attendance#sep#attendance14 [TAB] student_club#sep#attendance#sep#attendance5 [TAB] student_club#sep#attendance#sep#attendance12 [TAB] student_club#sep#attendance#sep#attendance11 [TAB] student_club#sep#attendance#sep#attendance1 [TAB] student_club#sep#attendance#sep#attendance15 [TAB] student_club#sep#attendance#sep#attendance4 [TAB] student_club#sep#attendance#sep#attendance7 [TAB] student_club#sep#attendance#sep#attendance6 [TAB] student_club#sep#attendance#sep#attendance3 [TAB] student_club#sep#attendance#sep#attendance0 [TAB] student_club#sep#attendance#sep#attendance8 [TAB] student_club#sep#attendance#sep#attendance16 [TAB] student_club#sep#event#sep#event
How many members of the Student_Club have major in 'Physics Teaching'?,student_club,1,SELECT COUNT(T2.member_id) FROM major AS T1 INNER JOIN member AS T2 ON T1.major_id = T2.link_to_major WHERE T1.major_name = 'Physics Teaching',simple,2,1.0,student_club#sep#major [TAB] student_club#sep#member#sep#member
