question,db,lbl,sql,diff,related_tab_cnts,answer,related_tabs
Return the number of flights departing from Aberdeen.,flight_2,1,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.SourceAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",,2,0.0,flight_2#sep#flights#sep#flights4 [TAB] flight_2#sep#flights#sep#flights11 [TAB] flight_2#sep#flights#sep#flights17 [TAB] flight_2#sep#flights#sep#flights1 [TAB] flight_2#sep#flights#sep#flights13 [TAB] flight_2#sep#flights#sep#flights16 [TAB] flight_2#sep#flights#sep#flights14 [TAB] flight_2#sep#flights#sep#flights10 [TAB] flight_2#sep#flights#sep#flights7 [TAB] flight_2#sep#flights#sep#flights3 [TAB] flight_2#sep#flights#sep#flights15 [TAB] flight_2#sep#flights#sep#flights9 [TAB] flight_2#sep#flights#sep#flights18 [TAB] flight_2#sep#flights#sep#flights5 [TAB] flight_2#sep#flights#sep#flights2 [TAB] flight_2#sep#flights#sep#flights6 [TAB] flight_2#sep#flights#sep#flights12 [TAB] flight_2#sep#flights#sep#flights0 [TAB] flight_2#sep#flights#sep#flights8 [TAB] flight_2#sep#airports#sep#airports1 [TAB] flight_2#sep#airports#sep#airports0
How many flights arriving in Aberdeen city?,flight_2,1,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",,2,0.0,flight_2#sep#flights#sep#flights4 [TAB] flight_2#sep#flights#sep#flights11 [TAB] flight_2#sep#flights#sep#flights17 [TAB] flight_2#sep#flights#sep#flights1 [TAB] flight_2#sep#flights#sep#flights13 [TAB] flight_2#sep#flights#sep#flights16 [TAB] flight_2#sep#flights#sep#flights14 [TAB] flight_2#sep#flights#sep#flights10 [TAB] flight_2#sep#flights#sep#flights7 [TAB] flight_2#sep#flights#sep#flights3 [TAB] flight_2#sep#flights#sep#flights15 [TAB] flight_2#sep#flights#sep#flights9 [TAB] flight_2#sep#flights#sep#flights18 [TAB] flight_2#sep#flights#sep#flights5 [TAB] flight_2#sep#flights#sep#flights2 [TAB] flight_2#sep#flights#sep#flights6 [TAB] flight_2#sep#flights#sep#flights12 [TAB] flight_2#sep#flights#sep#flights0 [TAB] flight_2#sep#flights#sep#flights8 [TAB] flight_2#sep#airports#sep#airports1 [TAB] flight_2#sep#airports#sep#airports0
Return the number of flights arriving in Aberdeen.,flight_2,1,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",,2,0.0,flight_2#sep#flights#sep#flights4 [TAB] flight_2#sep#flights#sep#flights11 [TAB] flight_2#sep#flights#sep#flights17 [TAB] flight_2#sep#flights#sep#flights1 [TAB] flight_2#sep#flights#sep#flights13 [TAB] flight_2#sep#flights#sep#flights16 [TAB] flight_2#sep#flights#sep#flights14 [TAB] flight_2#sep#flights#sep#flights10 [TAB] flight_2#sep#flights#sep#flights7 [TAB] flight_2#sep#flights#sep#flights3 [TAB] flight_2#sep#flights#sep#flights15 [TAB] flight_2#sep#flights#sep#flights9 [TAB] flight_2#sep#flights#sep#flights18 [TAB] flight_2#sep#flights#sep#flights5 [TAB] flight_2#sep#flights#sep#flights2 [TAB] flight_2#sep#flights#sep#flights6 [TAB] flight_2#sep#flights#sep#flights12 [TAB] flight_2#sep#flights#sep#flights0 [TAB] flight_2#sep#flights#sep#flights8 [TAB] flight_2#sep#airports#sep#airports1 [TAB] flight_2#sep#airports#sep#airports0
How many flights depart from City 'Aberdeen' and have destination City 'Ashley'?,flight_2,1,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRPORTS AS T3 ON T1.SourceAirport  =  T3.AirportCode WHERE T2.City  =  ""Ashley"" AND T3.City  =  ""Aberdeen""",,2,0.0,flight_2#sep#flights#sep#flights4 [TAB] flight_2#sep#flights#sep#flights11 [TAB] flight_2#sep#flights#sep#flights17 [TAB] flight_2#sep#flights#sep#flights1 [TAB] flight_2#sep#flights#sep#flights13 [TAB] flight_2#sep#flights#sep#flights16 [TAB] flight_2#sep#flights#sep#flights14 [TAB] flight_2#sep#flights#sep#flights10 [TAB] flight_2#sep#flights#sep#flights7 [TAB] flight_2#sep#flights#sep#flights3 [TAB] flight_2#sep#flights#sep#flights15 [TAB] flight_2#sep#flights#sep#flights9 [TAB] flight_2#sep#flights#sep#flights18 [TAB] flight_2#sep#flights#sep#flights5 [TAB] flight_2#sep#flights#sep#flights2 [TAB] flight_2#sep#flights#sep#flights6 [TAB] flight_2#sep#flights#sep#flights12 [TAB] flight_2#sep#flights#sep#flights0 [TAB] flight_2#sep#flights#sep#flights8 [TAB] flight_2#sep#airports#sep#airports1 [TAB] flight_2#sep#airports#sep#airports0
How many flights fly from Aberdeen to Ashley?,flight_2,1,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRPORTS AS T3 ON T1.SourceAirport  =  T3.AirportCode WHERE T2.City  =  ""Ashley"" AND T3.City  =  ""Aberdeen""",,2,0.0,flight_2#sep#flights#sep#flights4 [TAB] flight_2#sep#flights#sep#flights11 [TAB] flight_2#sep#flights#sep#flights17 [TAB] flight_2#sep#flights#sep#flights1 [TAB] flight_2#sep#flights#sep#flights13 [TAB] flight_2#sep#flights#sep#flights16 [TAB] flight_2#sep#flights#sep#flights14 [TAB] flight_2#sep#flights#sep#flights10 [TAB] flight_2#sep#flights#sep#flights7 [TAB] flight_2#sep#flights#sep#flights3 [TAB] flight_2#sep#flights#sep#flights15 [TAB] flight_2#sep#flights#sep#flights9 [TAB] flight_2#sep#flights#sep#flights18 [TAB] flight_2#sep#flights#sep#flights5 [TAB] flight_2#sep#flights#sep#flights2 [TAB] flight_2#sep#flights#sep#flights6 [TAB] flight_2#sep#flights#sep#flights12 [TAB] flight_2#sep#flights#sep#flights0 [TAB] flight_2#sep#flights#sep#flights8 [TAB] flight_2#sep#airports#sep#airports1 [TAB] flight_2#sep#airports#sep#airports0
How many United Airlines flights go to City 'Aberdeen'?,flight_2,11,"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRLINES AS T3 ON T3.uid  =  T1.Airline WHERE T2.City  =  ""Aberdeen"" AND T3.Airline  =  ""United Airlines""",,3,0.0,flight_2#sep#flights#sep#flights4 [TAB] flight_2#sep#flights#sep#flights11 [TAB] flight_2#sep#flights#sep#flights17 [TAB] flight_2#sep#flights#sep#flights1 [TAB] flight_2#sep#flights#sep#flights13 [TAB] flight_2#sep#flights#sep#flights16 [TAB] flight_2#sep#flights#sep#flights14 [TAB] flight_2#sep#flights#sep#flights10 [TAB] flight_2#sep#flights#sep#flights7 [TAB] flight_2#sep#flights#sep#flights3 [TAB] flight_2#sep#flights#sep#flights15 [TAB] flight_2#sep#flights#sep#flights9 [TAB] flight_2#sep#flights#sep#flights18 [TAB] flight_2#sep#flights#sep#flights5 [TAB] flight_2#sep#flights#sep#flights2 [TAB] flight_2#sep#flights#sep#flights6 [TAB] flight_2#sep#flights#sep#flights12 [TAB] flight_2#sep#flights#sep#flights0 [TAB] flight_2#sep#flights#sep#flights8 [TAB] flight_2#sep#airports#sep#airports1 [TAB] flight_2#sep#airports#sep#airports0 [TAB] flight_2#sep#airlines
Find the number of flights landing in the city of Aberdeen or Abilene.,flight_2,1,"SELECT count(*) FROM Flights AS T1 JOIN Airports AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.city  =  ""Aberdeen"" OR T2.city  =  ""Abilene""",,2,0.0,flight_2#sep#flights#sep#flights4 [TAB] flight_2#sep#flights#sep#flights11 [TAB] flight_2#sep#flights#sep#flights17 [TAB] flight_2#sep#flights#sep#flights1 [TAB] flight_2#sep#flights#sep#flights13 [TAB] flight_2#sep#flights#sep#flights16 [TAB] flight_2#sep#flights#sep#flights14 [TAB] flight_2#sep#flights#sep#flights10 [TAB] flight_2#sep#flights#sep#flights7 [TAB] flight_2#sep#flights#sep#flights3 [TAB] flight_2#sep#flights#sep#flights15 [TAB] flight_2#sep#flights#sep#flights9 [TAB] flight_2#sep#flights#sep#flights18 [TAB] flight_2#sep#flights#sep#flights5 [TAB] flight_2#sep#flights#sep#flights2 [TAB] flight_2#sep#flights#sep#flights6 [TAB] flight_2#sep#flights#sep#flights12 [TAB] flight_2#sep#flights#sep#flights0 [TAB] flight_2#sep#flights#sep#flights8 [TAB] flight_2#sep#airports#sep#airports1 [TAB] flight_2#sep#airports#sep#airports0
How many flights land in Aberdeen or Abilene?,flight_2,1,"SELECT count(*) FROM Flights AS T1 JOIN Airports AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.city  =  ""Aberdeen"" OR T2.city  =  ""Abilene""",,2,0.0,flight_2#sep#flights#sep#flights4 [TAB] flight_2#sep#flights#sep#flights11 [TAB] flight_2#sep#flights#sep#flights17 [TAB] flight_2#sep#flights#sep#flights1 [TAB] flight_2#sep#flights#sep#flights13 [TAB] flight_2#sep#flights#sep#flights16 [TAB] flight_2#sep#flights#sep#flights14 [TAB] flight_2#sep#flights#sep#flights10 [TAB] flight_2#sep#flights#sep#flights7 [TAB] flight_2#sep#flights#sep#flights3 [TAB] flight_2#sep#flights#sep#flights15 [TAB] flight_2#sep#flights#sep#flights9 [TAB] flight_2#sep#flights#sep#flights18 [TAB] flight_2#sep#flights#sep#flights5 [TAB] flight_2#sep#flights#sep#flights2 [TAB] flight_2#sep#flights#sep#flights6 [TAB] flight_2#sep#flights#sep#flights12 [TAB] flight_2#sep#flights#sep#flights0 [TAB] flight_2#sep#flights#sep#flights8 [TAB] flight_2#sep#airports#sep#airports1 [TAB] flight_2#sep#airports#sep#airports0
How many documents are using the template with type code 'PPT'?,cre_Doc_Template_Mgt,10,SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',,2,3.0,cre_Doc_Template_Mgt#sep#Templates#sep#Templates [TAB] cre_Doc_Template_Mgt#sep#Documents
Count the number of documents that use the PPT template type.,cre_Doc_Template_Mgt,10,SELECT count(*) FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'PPT',,2,3.0,cre_Doc_Template_Mgt#sep#Templates#sep#Templates [TAB] cre_Doc_Template_Mgt#sep#Documents
How many paragraphs for the document with name 'Summer Show'?,cre_Doc_Template_Mgt,10,SELECT count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_ID  =  T2.document_ID WHERE T2.document_name  =  'Summer Show',,2,1.0,cre_Doc_Template_Mgt#sep#Documents [TAB] cre_Doc_Template_Mgt#sep#Paragraphs
Count the number of paragraphs in the document named 'Summer Show'.,cre_Doc_Template_Mgt,10,SELECT count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_ID  =  T2.document_ID WHERE T2.document_name  =  'Summer Show',,2,1.0,cre_Doc_Template_Mgt#sep#Documents [TAB] cre_Doc_Template_Mgt#sep#Paragraphs
What is the total ticket expense of the visitors whose membership level is 1?,museum_visit,1,SELECT sum(t2.Total_spent) FROM visitor AS t1 JOIN visit AS t2 ON t1.id  =  t2.visitor_id WHERE t1.Level_of_membership  =  1,,2,570.84,museum_visit#sep#visitor#sep#visitor [TAB] museum_visit#sep#visit#sep#visit
Find the number of visitors who did not visit any museum opened after 2010.,museum_visit,10,SELECT count(*) FROM visitor WHERE id NOT IN (SELECT t2.visitor_id FROM museum AS t1 JOIN visit AS t2 ON t1.Museum_ID  =  t2.Museum_ID WHERE t1.open_year  >  2010),,3,3.0,museum_visit#sep#museum#sep#museum [TAB] museum_visit#sep#visitor#sep#visitor [TAB] museum_visit#sep#visit#sep#visit
How many battles did not lose any ship with tonnage '225'?,battle_death,0,SELECT count(*) FROM battle WHERE id NOT IN ( SELECT lost_in_battle FROM ship WHERE tonnage  =  '225' );,,2,7.0,battle_death#sep#ship [TAB] battle_death#sep#battle#sep#battle
How many degrees does the engineering department offer?,student_transcripts_tracking,1,SELECT count(*) FROM Departments AS T1 JOIN Degree_Programs AS T2 ON T1.department_id  =  T2.department_id WHERE T1.department_name  =  'engineer',,2,0.0,student_transcripts_tracking#sep#Degree_Programs#sep#Degree_Programs [TAB] student_transcripts_tracking#sep#Departments#sep#Departments
How many degrees does the engineering department have?,student_transcripts_tracking,1,SELECT count(*) FROM Departments AS T1 JOIN Degree_Programs AS T2 ON T1.department_id  =  T2.department_id WHERE T1.department_name  =  'engineer',,2,0.0,student_transcripts_tracking#sep#Degree_Programs#sep#Degree_Programs [TAB] student_transcripts_tracking#sep#Departments#sep#Departments
What is the average earnings of poker players with height higher than 200?,poker_player,1,SELECT avg(T2.Earnings) FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Height  >  200,,2,309445.0,poker_player#sep#people#sep#people [TAB] poker_player#sep#poker_player
Give average earnings of poker players who are taller than 200.,poker_player,1,SELECT avg(T2.Earnings) FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Height  >  200,,2,309445.0,poker_player#sep#people#sep#people [TAB] poker_player#sep#poker_player
How many contestants did not get voted?,voter_1,100,SELECT count(*) FROM contestants WHERE contestant_number NOT IN ( SELECT contestant_number FROM votes ),,2,8.0,voter_1#sep#VOTES#sep#VOTES [TAB] voter_1#sep#CONTESTANTS#sep#CONTESTANTS
What is the total number of languages used in Aruba?,world_1,1,"SELECT COUNT(T2.Language) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.Name  =  ""Aruba""",,2,4.0,world_1#sep#country [TAB] world_1#sep#countrylanguage#sep#countrylanguage1 [TAB] world_1#sep#countrylanguage#sep#countrylanguage0
How many languages are spoken in Aruba?,world_1,1,"SELECT COUNT(T2.Language) FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.Name  =  ""Aruba""",,2,4.0,world_1#sep#country [TAB] world_1#sep#countrylanguage#sep#countrylanguage1 [TAB] world_1#sep#countrylanguage#sep#countrylanguage0
How many countries speak both English and Dutch?,world_1,1,"SELECT COUNT(*) FROM (SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" INTERSECT SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""Dutch"")",,2,3.0,world_1#sep#country [TAB] world_1#sep#countrylanguage#sep#countrylanguage1 [TAB] world_1#sep#countrylanguage#sep#countrylanguage0
What is the number of nations that use English and Dutch?,world_1,1,"SELECT COUNT(*) FROM (SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""English"" INTERSECT SELECT T1.Name FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Language  =  ""Dutch"")",,2,3.0,world_1#sep#country [TAB] world_1#sep#countrylanguage#sep#countrylanguage1 [TAB] world_1#sep#countrylanguage#sep#countrylanguage0
Count the number of friends Kyle has.,network_1,10,"SELECT count(*) FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id WHERE T2.name  =  ""Kyle""",,2,1.0,network_1#sep#Highschooler#sep#Highschooler [TAB] network_1#sep#Friend#sep#Friend
How many likes does Kyle have?,network_1,10,"SELECT count(*) FROM Likes AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id WHERE T2.name  =  ""Kyle""",,2,1.0,network_1#sep#Highschooler#sep#Highschooler [TAB] network_1#sep#Likes#sep#Likes
Return the number of likes that the high schooler named Kyle has.,network_1,10,"SELECT count(*) FROM Likes AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id WHERE T2.name  =  ""Kyle""",,2,1.0,network_1#sep#Highschooler#sep#Highschooler [TAB] network_1#sep#Likes#sep#Likes
How many dogs have not gone through any treatment?,dog_kennels,100,SELECT count(*) FROM Dogs WHERE dog_id NOT IN ( SELECT dog_id FROM Treatments ),,2,6.0,dog_kennels#sep#Dogs [TAB] dog_kennels#sep#Treatments#sep#Treatments
Tell me the number of dogs that have not received any treatment .,dog_kennels,100,select count(*) from dogs where dog_id not in ( select dog_id from treatments ),,2,6.0,dog_kennels#sep#Dogs [TAB] dog_kennels#sep#Treatments#sep#Treatments
How many owners temporarily do not have any dogs?,dog_kennels,100,SELECT count(*) FROM Owners WHERE owner_id NOT IN ( SELECT owner_id FROM Dogs ),,2,3.0,dog_kennels#sep#Dogs [TAB] dog_kennels#sep#Owners#sep#Owners
Find the number of owners who do not own any dogs at this moment.,dog_kennels,100,SELECT count(*) FROM Owners WHERE owner_id NOT IN ( SELECT owner_id FROM Dogs ),,2,3.0,dog_kennels#sep#Dogs [TAB] dog_kennels#sep#Owners#sep#Owners
How many professionals did not operate any treatment on dogs?,dog_kennels,100,SELECT count(*) FROM Professionals WHERE professional_id NOT IN ( SELECT professional_id FROM Treatments ),,2,7.0,dog_kennels#sep#Professionals#sep#Professionals [TAB] dog_kennels#sep#Treatments#sep#Treatments
Find the number of professionals who have not treated any dogs.,dog_kennels,100,SELECT count(*) FROM Professionals WHERE professional_id NOT IN ( SELECT professional_id FROM Treatments ),,2,7.0,dog_kennels#sep#Professionals#sep#Professionals [TAB] dog_kennels#sep#Treatments#sep#Treatments
How many departments are led by heads who are not mentioned?,department_management,100,SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,,2,11.0,department_management#sep#department#sep#department [TAB] department_management#sep#management
How many students attend course English?,student_assessment,10,"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",,2,2.0,student_assessment#sep#Courses#sep#Courses [TAB] student_assessment#sep#Student_Course_Attendance#sep#Student_Course_Attendance
How many students are attending English courses?,student_assessment,10,"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",,2,2.0,student_assessment#sep#Courses#sep#Courses [TAB] student_assessment#sep#Student_Course_Attendance#sep#Student_Course_Attendance
How many courses do the student whose id is 171 attend?,student_assessment,1,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,,2,1.0,student_assessment#sep#Courses#sep#Courses [TAB] student_assessment#sep#Student_Course_Attendance#sep#Student_Course_Attendance
How many courses does the student with id 171 actually attend?,student_assessment,1,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,,2,1.0,student_assessment#sep#Courses#sep#Courses [TAB] student_assessment#sep#Student_Course_Attendance#sep#Student_Course_Attendance
What is the average longitude of stations that never had bike availability more than 10?,bike_1,100,SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),,2,-122.16748623913044,bike_1#sep#status#sep#status1 [TAB] bike_1#sep#status#sep#status6 [TAB] bike_1#sep#status#sep#status5 [TAB] bike_1#sep#status#sep#status8 [TAB] bike_1#sep#status#sep#status0 [TAB] bike_1#sep#status#sep#status4 [TAB] bike_1#sep#status#sep#status9 [TAB] bike_1#sep#status#sep#status3 [TAB] bike_1#sep#status#sep#status7 [TAB] bike_1#sep#status#sep#status2 [TAB] bike_1#sep#status#sep#status10 [TAB] bike_1#sep#station#sep#station_location0
What is the mean longitude for all stations that have never had more than 10 bikes available?,bike_1,100,SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),,2,-122.16748623913044,bike_1#sep#status#sep#status1 [TAB] bike_1#sep#status#sep#status6 [TAB] bike_1#sep#status#sep#status5 [TAB] bike_1#sep#status#sep#status8 [TAB] bike_1#sep#status#sep#status0 [TAB] bike_1#sep#status#sep#status4 [TAB] bike_1#sep#status#sep#status9 [TAB] bike_1#sep#status#sep#status3 [TAB] bike_1#sep#status#sep#status7 [TAB] bike_1#sep#status#sep#status2 [TAB] bike_1#sep#status#sep#status10 [TAB] bike_1#sep#station#sep#station_location0
Find the average number of followers for the users who do not have any tweet.,twitter_1,0,SELECT avg(followers) FROM user_profiles WHERE UID NOT IN (SELECT UID FROM tweets),,2,47188159.0,twitter_1#sep#tweets#sep#tweets [TAB] twitter_1#sep#user_profiles#sep#user_profiles
Find the average number of followers for the users who had some tweets.,twitter_1,0,SELECT avg(followers) FROM user_profiles WHERE UID IN (SELECT UID FROM tweets),,2,33203172.0,twitter_1#sep#tweets#sep#tweets [TAB] twitter_1#sep#user_profiles#sep#user_profiles
What is the average sales of the journals that have an editor whose work type is 'Photo'?,journal_committee,1,SELECT avg(T1.sales) FROM journal AS T1 JOIN journal_committee AS T2 ON T1.journal_ID  =  T2.journal_ID WHERE T2.work_type  =  'Photo',,2,4660.25,journal_committee#sep#journal [TAB] journal_committee#sep#journal_committee
How many accounts does the customer with first name Art and last name Turcotte have?,customers_card_transactions,1,"SELECT count(*) FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  ""Art"" AND T2.customer_last_name  =  ""Turcotte""",,2,3.0,customers_card_transactions#sep#Accounts#sep#Accounts [TAB] customers_card_transactions#sep#Customers#sep#Customers
Return the number of accounts that the customer with the first name Art and last name Turcotte has.,customers_card_transactions,1,"SELECT count(*) FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  ""Art"" AND T2.customer_last_name  =  ""Turcotte""",,2,3.0,customers_card_transactions#sep#Accounts#sep#Accounts [TAB] customers_card_transactions#sep#Customers#sep#Customers
Show the number of all customers without an account.,customers_card_transactions,100,SELECT count(*) FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Accounts),,2,6.0,customers_card_transactions#sep#Accounts#sep#Accounts [TAB] customers_card_transactions#sep#Customers#sep#Customers
How many customers do not have an account?,customers_card_transactions,100,SELECT count(*) FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Accounts),,2,6.0,customers_card_transactions#sep#Accounts#sep#Accounts [TAB] customers_card_transactions#sep#Customers#sep#Customers
How many cards does customer Art Turcotte have?,customers_card_transactions,1,"SELECT count(*) FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  ""Art"" AND T2.customer_last_name  =  ""Turcotte""",,2,0.0,customers_card_transactions#sep#Customers_Cards [TAB] customers_card_transactions#sep#Customers#sep#Customers
Count the number of cards the customer with the first name Art and last name Turcotte has.,customers_card_transactions,1,"SELECT count(*) FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  ""Art"" AND T2.customer_last_name  =  ""Turcotte""",,2,0.0,customers_card_transactions#sep#Customers_Cards [TAB] customers_card_transactions#sep#Customers#sep#Customers
How many credit cards does customer Blanche Huels have?,customers_card_transactions,11,"SELECT count(*) FROM Customers_cards AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  ""Blanche"" AND T2.customer_last_name  =  ""Huels"" AND T1.card_type_code  =  ""Credit""",,2,1.0,customers_card_transactions#sep#Customers_Cards [TAB] customers_card_transactions#sep#Customers#sep#Customers
